site_code,state_well_nbr,local_well_designation,latitude,longitude,basin_name,is_voluntary_reporting,total_depth_ft,ewm_station_use_desc
389392N1228729W001,13N09W28N003M,13N-09W-28N3,38.939200,-122.872900,Big Valley,Y,,Irrigation
389403N1228788W001,13N09W29R001M,13N-09W-29R1,38.940300,-122.878800,Big Valley,Y,,Irrigation
389424N1228464W001,13N09W27Q001M,13N-09W-27Q1,38.942400,-122.846400,Big Valley,Y,,Residential
389438N1228611W001,13N09W28J002M,13N-09W-28J2,38.943780,-122.861025,Big Valley,N,100,Residential
389443N1228625W001,13N09W28K001M,,38.944300,-122.862500,Big Valley,Y,,Unknown
389464N1228892W001,13N09W29L001M,,38.946400,-122.889200,Big Valley,Y,,Residential
389518N1228512W001,13N09W27D001M,13N-09W-27D1,38.951800,-122.851200,Big Valley,Y,,Irrigation
389542N1228410W001,13N09W22R001M,,38.954200,-122.841000,Big Valley,Y,,Unknown
389569N1228885W001,13N09W20P001M,,38.956900,-122.888500,Big Valley,Y,,Residential
389587N1228545W001,13N09W22M001M,13N-09W-22M1,38.958677,-122.854461,Big Valley,N,220,Irrigation
389592N1228391W001,13N09W22J001M,,38.959200,-122.839100,Big Valley,Y,,Irrigation
389592N1228971W001,13N09W19J001M,13N-09W-19J1,38.959200,-122.897100,Big Valley,Y,,Irrigation
389606N1228615W001,13N09W21J001M,13N-09W-21J1,38.960600,-122.861500,Big Valley,Y,,Residential
389611N1228872W001,13N09W20F001M,13N-09W-20F1,38.961100,-122.887200,Big Valley,Y,,Residential
389621N1228314W001,13N09W23F001M,13N-09W-23F1,38.962100,-122.831400,Big Valley,Y,,Stockwatering
389626N1228515W001,13N09W22F001M,13N-09W-22F1,38.962600,-122.851500,Big Valley,Y,,Irrigation
389629N1228978W001,13N09W19H001M,,38.962900,-122.897800,Big Valley,Y,,Stockwatering
389644N1228514W001,13N09W22C002M,13N09W22C002M,38.964340,-122.851532,Big Valley,Y,67,Residential
389706N1228324W001,13N09W14P002M,13N-09W-14P2,38.970600,-122.832400,Big Valley,Y,,Irrigation
389718N1228410W001,13N09W15J001M,13N-09W-15J1,38.971800,-122.841000,Big Valley,Y,,Irrigation
389719N1228550W001,13N09W15M001M,13N-09W-15M1,38.971900,-122.855000,Big Valley,Y,,Residential
389744N1228435W001,13N09W15K001M,,38.974400,-122.843500,Big Valley,Y,,Other
389762N1228258W001,13N09W14G001M,,38.976200,-122.825800,Big Valley,Y,,Irrigation
389765N1228285W001,13N09W14G002M,13N09W14G002M,38.976600,-122.828780,Big Valley,Y,62,Residential
389800N1228443W001,13N09W15B002M,13N-09W-15B2,38.980000,-122.844300,Big Valley,Y,,Irrigation
389815N1228559W001,13N09W15D001M,13N-09W-15D1,38.981500,-122.855900,Big Valley,Y,,Irrigation
390136N1228362W001,14N09W35N001M,,39.013600,-122.836200,Big Valley,Y,,Residential
390149N1228719W001,14N09W33M002M,,39.014900,-122.871900,Big Valley,Y,,Unknown
390150N1228646W001,14N09W33K001M,14N-09W-33K1,39.015000,-122.864600,Big Valley,Y,,Irrigation
390159N1228906W001,14N09W32M001M,14N-09W-32M1,39.015900,-122.890600,Big Valley,Y,,Irrigation
390164N1228322W001,14N09W35L001M,,39.016400,-122.832200,Big Valley,Y,,Irrigation
390175N1228682W001,14N09W33L003M,14N-09W-33L3,39.017500,-122.868200,Big Valley,Y,,Irrigation
390183N1228483W001,14N09W34L003M,,39.018300,-122.848300,Big Valley,Y,,Irrigation
390186N1228813W001,14N09W32G002M,14N-09W-32G2,39.018588,-122.881273,Big Valley,N,125,Irrigation
390202N1228500W001,14N09W34F002M,14N-09W-34F2,39.020175,-122.850014,Big Valley,N,225,Irrigation
