creek,location,date,fish,observer,comments
Adobe,e_finley_rd,2005-01-20,0,Windrem,NA
Adobe,e_finley_rd,2005-02-02,0,Smythe,"clear & cold, water clarity 2'"
Adobe,e_finley_rd,2005-02-04,0,Smythe,"clear & cold, water clarity 2'"
Adobe,e_finley_rd,2005-02-07,0,Smythe,"clear & cold, water clarity 3"""
Adobe,argonaut_rd,2005-02-08,0,Ickes,NA
Adobe,e_finley_rd,2005-02-09,0,Smythe,"clear & cold, water clarity 3"""
Adobe,argonaut_rd,2005-02-10,0,Ickes,NA
Adobe,e_finley_rd,2005-02-14,0,Smythe,"cloudy, cool, water clarity 3""+ One heron on site, small rock dam constructed across creek upstream of bridge, should not hinder passage of hitch"
Adobe,e_finley_rd,2005-02-16,0,Smythe,"clear, water clarity 2'"
Adobe,argonaut_rd,2005-02-16,0,Ickes,NA
Adobe,e_finley_rd,2005-02-20,0,Windrem,high water; trash
Adobe,e_finley_rd,2005-02-21,0,Smythe,"clear,cool, water clarity 2'"
Adobe,e_finley_rd,2005-02-21,60,Geary,clear water
Adobe,argonaut_rd,2005-02-22,0,Ickes,water very cloudy but could probably see fish if they were there
Adobe,NA,2005-02-23,0,Mostin,NA
Adobe,e_finley_rd,2005-02-23,0,Smythe,"clear, cool, water clarity 6"" 3-4 fish spotted, appeared to be carp by size & behavior"
Adobe,argonaut_rd,2005-02-23,0,Ickes,NA
Adobe,merrit_rd,2005-02-24,NA,Bluewolf,NA
Adobe,soda_bay_rd,2005-02-24,1000,Windrem,herons fishing
Adobe,e_finley_rd,2005-02-24,1000,Windrem,NA
Adobe,e_finley_rd,2005-02-24,50,Windrem,they arrived this AM
Adobe,merrit_rd,2005-02-24,300,Moorhead,NA
Adobe,e_finley_rd,2005-02-25,30,Smythe,"clear, cool, water clarity 1'"
Adobe,argonaut_rd,2005-02-25,0,Ickes,NA
Adobe,e_finley_rd,2005-03-01,0,Smythe,"clear, cool, water clarity 6"" Heavy rain over weekend"
Adobe,bell_hill_rd,2005-03-01,0,Devoto,high flow & dirty water
Adobe,bell_hill_rd,2005-03-03,80,Marchand,"chi seen both sides of road so culvert doesnt seem to be a barrier 50-60°, overcast, water somewhat turbid"
Adobe,argonaut_rd,2005-03-03,0,Macedo,High stream flowsand poor water clarity prevented me from seeing any fish.
Adobe,e_finley_rd,2005-03-03,0,Macedo,High stream flowsand poor water clarity prevented me from seeing any fish.
Adobe,e_finley_rd,2005-03-03,20,Smythe,"clear, cool, water clarity 9"""
Adobe,argonaut_rd,2005-03-03,0,Ickes,very murky
Adobe,merrit_rd,2005-03-05,0,Moorhead,NA
Adobe,e_finley_rd,2005-03-05,0,Johnson,NA
Adobe,hwy_29,2005-03-05,50,Geary,NA
Adobe,soda_bay_rd,2005-03-06,100,Windrem,morning large run beginning
Adobe,soda_bay_rd,2005-03-06,400,Windrem,slightly murky
Adobe,e_finley_rd,2005-03-06,0,Windrem,cloudy
Adobe,argonaut_rd,2005-03-06,0,Windrem,cloudy
Adobe,e_finley_rd,2005-03-06,100,Windrem,NA
Adobe,e_finley_rd,2005-03-07,500,Smythe,"clear, warm, water clarity 2'+"
Adobe,merrit_rd,2005-03-07,2,Moorhead,NA
Adobe,e_finley_rd,2005-03-07,500,Johnson,large school; monitored for 3 minutes
Adobe,merrit_rd,2005-03-07,100,Windrem,NA
Adobe,bell_hill_rd,2005-03-08,200,Vidich,"I tried to catch one, but it was too slippery and fast!"
Adobe,bell_hill_rd,2005-03-08,0,Windrem,cloudy & still
Adobe,soda_bay_rd,2005-03-08,1000,Windrem,continuous stream
Adobe,e_finley_rd,2005-03-08,150,Johnson,NA
Adobe,bell_hill_rd,2005-03-08,300,Devoto,"countless chi spawning in the gravel beds just above the                                             crossing,  females swishing out a redd and males fighting to fertilize the eggs; quite a sight"
Adobe,bell_hill_rd,2005-03-08,NA,Devoto,in pond just off creek: some swimming  into pond and some trying to get out;  no spawning activity
Adobe,merrit_rd,2005-03-09,300,Devoto,countless chi in the act of spawning in the gravel at the edges of the creek
Adobe,argonaut_rd,2005-03-09,150,Gray,NA
Adobe,merrit_rd,2005-03-09,600,Gray,NA
Adobe,bell_hill_rd,2005-03-09,200,Gray,too much glare to count
Adobe,e_finley_rd,2005-03-09,200,Smythe,"clear, warm, water clarity 3'+"
Adobe,soda_bay_rd,2005-03-09,300,Gray,NA
Adobe,harris_ave,2005-03-10,517,Kerns,an hours observation
Adobe,e_finley_rd,2005-03-11,300,Smythe,"clear, warm, water clarity 3'+"
Adobe,e_finley_rd,2005-03-11,185,Johnson,17° C
Adobe,soda_bay_rd,2005-03-12,1000,Windrem,CC field trip
Adobe,soda_bay_rd,2005-03-12,400,Kerns,NA
Adobe,bell_hill_rd,2005-03-12,500,Windrem,"CC field trip, chased fish"
Adobe,e_finley_rd,2005-03-12,130,Johnson,NA
Adobe,e_finley_rd,2005-03-12,300,Johnson,NA
Adobe,e_finley_rd,2005-03-14,200,Smythe,"clear, warm, water clarity 3'+"
Adobe,soda_bay_rd,2005-03-14,500,Windrem,fewer than on 3/12
Adobe,e_finley_rd,2005-03-14,53,Johnson,NA
Adobe,e_finley_rd,2005-03-15,23,Swette,water temp 62; air temp 85
Adobe,e_finley_rd,2005-03-15,8,Swette,water temp 62; air temp 85
Adobe,big_valley_rd,2005-03-15,45,Swette,water temp 62; air temp 85
Adobe,big_valley_rd,2005-03-15,15,Swette,water temp 62; air temp 85
Adobe,e_finley_rd,2005-03-15,0,Johnson,NA
Adobe,e_finley_rd,2005-03-16,0,Johnson,2 dead fish
Adobe,argonaut_rd,2005-03-16,0,Ickes,clear
Adobe,big_valley_rd,2005-03-16,0,Johnson,NA
Adobe,e_finley_rd,2005-03-21,0,Smythe,"cloudy, cool, water clarity 6"""
Adobe,e_finley_rd,2005-03-23,0,Smythe,"cloudy, cool, water clarity 0"
Adobe,soda_bay_rd,2005-03-24,0,Windrem,too murky to see; heron in creek
Adobe,soda_bay_rd,2005-03-26,0,Windrem,1 heron; murky
Adobe,e_finley_rd,2005-03-29,0,Smythe,"clear, cool, water clarity 0"
Adobe,soda_bay_rd,2005-03-30,0,Windrem,too high & murky
Adobe,soda_bay_rd,2005-04-14,100,Windrem,They were moving upstream very slowly. Three mergansers and one heron were preying on them.
Adobe,bell_hill_rd,2005-04-15,0,Devoto,NA
Adobe,stone_rd,2006-02-02,100,Manning,"first observation of 2006: substantial school swimming upstream, not spawning. Many herons eating them"
