creek,location,date,time,fish,observer,comments
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,14C-13 bridge,2005-03-11,1:55PM,450,Johnson,14°C
Adobe,Finley East Rd,2005-01-20,2:40PM,0,Windrem,NA
Adobe,Finley East Rd (upstream),2005-02-02,7:50AM,0,Smythe,"clear & cold, water clarity 2'"
Adobe,Finley East Rd (upstream),2005-02-04,7:55AM,0,Smythe,"clear & cold, water clarity 2'"
Adobe,Finley East Rd (upstream),2005-02-07,7:50AM,0,Smythe,"clear & cold, water clarity 3"""
Adobe,Argonaut Rd,2005-02-08,4:37PM,0,Ickes,NA
Adobe,Finley East Rd (upstream),2005-02-09,7:55AM,0,Smythe,"clear & cold, water clarity 3"""
Adobe,Argonaut Rd,2005-02-10,4:37PM,0,Ickes,NA
Adobe,Finley East Rd (upstream),2005-02-14,7:53AM,0,Smythe,"cloudy, cool, water clarity 3""+ One heron on site, small rock dam constructed across creek upstream of bridge, should not hinder passage of hitch"
Adobe,Finley East Rd (upstream),2005-02-16,7:50AM,0,Smythe,"clear, water clarity 2'"
Adobe,Argonaut Rd,2005-02-16,4:41PM,0,Ickes,NA
Adobe,Finley East Rd,2005-02-20,3:10PM,0,Windrem,high water; trash
Adobe,Finley East Rd (upstream),2005-02-21,7:50AM,0,Smythe,"clear,cool, water clarity 2'"
Adobe,Finley East Rd,2005-02-21,2:30PM,60,Geary,clear water
Adobe,Argonaut Rd,2005-02-22,1:10PM,0,Ickes,water very cloudy but could probably see fish if they were there
Adobe,NA,2005-02-23,NA,0,Mostin,NA
Adobe,Finley East Rd (upstream),2005-02-23,7:52AM,0,Smythe,"clear, cool, water clarity 6"" 3-4 fish spotted, appeared to be carp by size & behavior"
Adobe,Argonaut Rd,2005-02-23,4:45PM,0,Ickes,NA
Adobe,near Merritt Rd,2005-02-24,NA,NA,Bluewolf,NA
Adobe,Soda Bay Rd,2005-02-24,7:43AM,1000+,Windrem,herons fishing
Adobe,Finley East Rd,2005-02-24,12PM,1000+,Windrem,NA
Adobe,Finley East Rd,2005-02-24,12:30PM,50+,Windrem,they arrived this AM
Adobe,Merritt Rd,2005-02-24,5:56PM,300+,Moorhead,NA
Adobe,Finley East Rd (upstream),2005-02-25,7:50AM,30,Smythe,"clear, cool, water clarity 1'"
Adobe,Argonaut Rd,2005-02-25,5:07PM,0,Ickes,NA
Adobe,Finley East Rd (upstream),2005-03-01,7:50AM,0,Smythe,"clear, cool, water clarity 6"" Heavy rain over weekend"
Adobe,Bell Hill,2005-03-01,10AM,0,Devoto,high flow & dirty water
Adobe,Bell Hill Rd,2005-03-03,NA,80,Marchand,"chi seen both sides of road so culvert doesnt seem to be a barrier 50-60°, overcast, water somewhat turbid"
Adobe,Argonaut Rd,2005-03-03,NA,0,Macedo,High stream flowsand poor water clarity prevented me from seeing any fish.
Adobe,Finley East Rd,2005-03-03,NA,0,Macedo,High stream flowsand poor water clarity prevented me from seeing any fish.
Adobe,Finley East Rd (upstream),2005-03-03,7:50AM,20,Smythe,"clear, cool, water clarity 9"""
Adobe,Argonaut Rd,2005-03-03,1:20PM,0,Ickes,very murky
Adobe,Merritt Rd,2005-03-05,8AM,0,Moorhead,NA
Adobe,Finley East Rd,2005-03-05,11:15AM,0,Johnson,NA
Adobe,Highway 29,2005-03-05,4:30PM,50,Geary,NA
Adobe,Soda Bay Rd,2005-03-06,NA,100+,Windrem,morning large run beginning
Adobe,Soda Bay Rd,2005-03-06,7:10AM,400,Windrem,slightly murky
Adobe,Finley East,2005-03-06,7:54AM,0,Windrem,cloudy
Adobe,Argonaut Rd,2005-03-06,8AM,0,Windrem,cloudy
Adobe,Finley East Rd,2005-03-06,1:30PM,100+,Windrem,NA
Adobe,Finley East Rd (upstream),2005-03-07,7:50AM,500,Smythe,"clear, warm, water clarity 2'+"
Adobe,Merritt Rd,2005-03-07,8AM,2,Moorhead,NA
Adobe,Finley East Rd,2005-03-07,11:55AM,500+,Johnson,large school; monitored for 3 minutes
Adobe,Merritt Rd,2005-03-07,5PM,100+,Windrem,NA
Adobe,Bell Hill Rd,2005-03-08,NA,200,Vidich,"I tried to catch one, but it was too slippery and fast!"
Adobe,Bell Hill Rd,2005-03-08,8:30AM,0,Windrem,cloudy & still
Adobe,Soda Bay Rd,2005-03-08,9:02AM,1000+,Windrem,continuous stream
Adobe,Finley East Rd,2005-03-08,12:39PM,150,Johnson,NA
Adobe,Bell Hill Rd,2005-03-08,3PM,200-400,Devoto,"countless chi spawning in the gravel beds just above the                                             crossing,  females swishing out a redd and males fighting to fertilize the eggs; quite a sight"
Adobe,Bell Hill Rd,2005-03-08,3PM,?,Devoto ,in pond just off creek: some swimming  into pond and some trying to get out;  no spawning activity
Adobe,Merritt Rd,2005-03-09,NA,200-400,Devoto,countless chi in the act of spawning in the gravel at the edges of the creek
Adobe,Argonaut Rd,2005-03-09,NA,150,Gray,NA
Adobe,Merritt Rd,2005-03-09,NA,600,Gray,NA
Adobe,Bell Hill Rd,2005-03-09,NA,200-,Gray,too much glare to count
Adobe,Finley East Rd (upstream),2005-03-09,7:50AM,200,Smythe,"clear, warm, water clarity 3'+"
Adobe,Soda Bay Rd,2005-03-09,10:30AM,300,Gray,NA
Adobe,3570 Harris Ave,2005-03-10,7PM,517+,Kerns,an hours observation
