date,time,creek,location,fish,observer,comments
2006-01-28,11:05AM,Forbes,Martin,0,Gitchell,"water ""mucky & high"""
2006-01-28,11:30AM,Forbes,Parallel,0,Gitchell,"""big open area & a lot of water""; willow trees"
2006-01-31,5:30PM,Cole,Clark Dr,0,Ishihara,cloudy & cold
2006-02-02,8:00PM,Adobe,Stone Dr,100 (?),Manning,"first observation of 2006: substantial school swimming upstream, not spawning. Many herons eating them"
2006-02-02,9PM,Adobe,Stone Dr,200+,Ishihara,"cloudy, no moon. ""Very active, not always grouped, some pairs and groups, scattered in light"""
2006-02-02,9:20PM,Adobe,Soda Bay,0,Ishihara,NA
2006-02-02,9:35PM,Adobe,Finley East,1,Ishihara,NA
2006-02-03,11:10AM,Adobe,Manning,0,Windrem,NA
2006-02-04,2:30PM,Cole,Soda Bay,0,Ishihara,NA
2006-02-04,2:45PM,Cole,Clark dr,0,Ishihara,water cloudy
2006-02-04,7:50PM,Cole,Soda Bay,0,Ishihara,NA
2006-02-04,7:50PM,Cole,Clark Dr,0,Ishihara,NA
2006-02-04,2:45PM,Kelsey,Soda Bay,0,Moura,clear water
2006-02-04,4:45PM,Schindler,Hwy 20,0,Barnes/Rett,"""sunny; water deep & rapid -- no quiet pools"" walked creek about 200 ft"
2006-02-05,10:15AM,Adobe,Soda Bay,500,Windrem,NA
2006-02-05,10:20AM,Adobe,Finley East,0,Windrem,NA
2006-02-05,2:30PM,Cole,Clark Dr,0,Windrem,murky
2006-02-05,10:10AM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-05,3:15PM,Kelsey,CLSP,0,Moura,not clear near mouth
2006-02-05,2:30PM,Manning,Soda Bay,0,Snider,NA
2006-02-05,9:10AM,Schindler,Hwy 20,0,Mahon,murky
2006-02-05,9:30AM,Schindler,Konocti Br,0,Mahon,murky
2006-02-06,7:30AM,Adobe,Finley East,0,Smythe,"clear, cold, water clarity 3'"
2006-02-06,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-06,3PM,Forbes,Martin,0,Stewart, sunny day
2006-02-06,3:15PM,Forbes,Main,0,Stewart, sunny day
2006-02-06,3:30PM,Forbes,Willow Point,0,Stewart," sunny day, dirty water"
2006-02-06,7:20AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cold, water clarity 3'"
