creek,location,date,fish,observer,comments
Adobe,Bell Hill Rd,2008-02-05,0,Geary/Lynch,Mudhen in creek
Adobe,SBR,2008-02-12,0,Windrem,
Adobe,SBR,2008-02-13,0,Windrem,
Adobe,SBR,2008-02-15,15,Ryan,
Adobe,SBR,2008-02-15,0,Windrem,"12 Sac suckers, one heron"
Adobe,SBR,2008-02-16,0,Windrem,6+ Sac suckers
Adobe,Finley East,2008-02-16,0,Windrem,2 mergansers
Adobe,SBR,2008-02-17,0,Windrem,no suckers
Adobe,Finley East,2008-02-20,0,Smythe,light rain
Adobe,Finley East,2008-02-22,0,Smythe,"mostly cloudy, cool"
Adobe,SBR,2008-02-23,0,Windrem,
Adobe,Soda Bay Rd,2008-02-25,0,Geary/Lynch/Combs/Mottlow,Refrigerator in creek
Adobe,Bell Hill Rd,2008-02-25,0,Geary/Lynch/Combs/Mottlow,Murky and fast moving
Adobe,Finley East,2008-02-27,0,Windrem,
Adobe,SBR,2008-02-28,0,Windrem,
Adobe,Soda Bay Rd,2008-02-29,25-30,Combs,also dead hitch on bank: possible raccoon predation
Adobe,SBR,2008-02-29,0,Windrem,
Adobe,Soda Bay Rd,2008-02-29,1,Geary/Lynch,Fish was found in shallow part of creek nearly dead.
Adobe,SBR,2008-03-02,0,Windrem,
Adobe,SBR,2008-03-03,0,Windrem,
Adobe ,Soda Bay Rd,2008-03-03,0,Geary/Mottlow,Murky in deep spots. Hawk eating something on bank and green heron on bank too.
Adobe ,Bell Hill Rd,2008-03-03,0,Geary/Mottlow,Low Water
Adobe,Stone Dr.,2008-03-03,0,Geary/Mottlow,
Adobe,Argonaut ,2008-03-03,0,Geary/Mottlow,
Adobe,Finley East,2008-03-04,0,Smythe,"clear, cold"
Adobe,Finley East,2008-03-04,0,Windrem,no ducks
Adobe,SBR,2008-03-04,0,Windrem,
Adobe,Soda Bay Rd,2008-03-04,2 dead,Geary/Lynch,Saw 2 dead and a school of about 30 sucker fish spawning
Adobe,Bell Hill Rd,2008-03-04,"0 Hitch, 7to8 suckers",Geary/Lynch,Saw about 7 or 8 suckers
Adobe,Hwy 29,2008-03-04,0,Moura,
Adobe,Big Valley Rd,2008-03-04,0,Moura,
Adobe,Finley East,2008-03-04,0,Moura,
Adobe,Finley East,2008-03-05,0,Smythe,"clear, cold"
Adobe,SBR,2008-03-05,0,Windrem,
Adobe,Finley East,2008-03-06,0,Windrem,1 blue heron
Adobe,SBR,2008-03-06,?,Windrem,"5+ unidentified fish, maybe suckers. 3 mergansers, 1 black-crowned heron, 1 gray squirrel"
Adobe,Finley East,2008-03-07,0,Smythe,"clear, cold"
Adobe,Hwy 29,2008-03-09,0,Moura,
Adobe,Big Valley Rd,2008-03-09,0,Moura,
Adobe,SBR,2008-03-09,0,Moura,
