date,time,creek,location,fish,comments,observer
2016-05-04,NA,Clear Lake,mouth Kelsey,300,school just offshore at CLSP; possibly spawing,Ewing
2016-04-28,10AM,Schindler,Hwy 20,40,later confirmed not to be hitch,Dennis Krentz
2016-04-16,10AM,Schindler,Hwy 20,16,later confirmed not to be hitch,Dennis Krentz
2016-04-15,NA,Kelsey,Hellsbend,0,"no hitch but about 20 live and 25 dead suckers, lots               of herons and buzzards, and lots of fry",Murphy
2016-04-15,10AM,Schindler,Hwy 20,10,later confirmed not to be hitch,Dennis Krentz
2016-04-14,11AM,Kelsey,Hellsbend,80,two herons right on top of them:,Murphy
2016-04-12,NA,Kelsey,SBR,12,NA,Ewing
2016-04-11,NA,Kelsey,SBR,6,NA,Ewing
2016-04-10,10AM,Kelsey,Hellsbend,100,"two schools that merged into one, with a few suckers",Murphy
2016-04-09,10AM,Kelsey,Hellsbend,70,"one school of about 40 hitch; another about half suckers:               detention structure closed, water very low. herons",Murphy
2016-03-29,NA,Middle,Hwy 20,0,birds downstream and upstream,Hodge
2016-03-28,4PM,Clover Diversion,Middle Creek Rd,8,"2 fish spawning, shallow water",Hodge
2016-03-28,4:30PM,Middle,Rancheria bridge,75,above bridge under willow branches; also 6 suckers,Hodge
2016-03-27,2PM,Schindler,Konocti Bridge,0,water very murky with a few ducks,Barnes/Rett
2016-03-27,2:15PM,Schindler,4th St,0,"water clear and flowing; 4-6 small fish in a hole,               probably bluegill",Barnes/Rett
2016-03-27,2:30PM,Schindler,Hwy 20,0,water clear and flowing,Barnes/Rett
2016-03-26,8AM,Clover Diversion,Middle Creek Rd,4,clear water,Hodge
2016-03-25,2:30PM,Clover Diversion,Middle Creek Rd,3,clear water,Hodge
2016-03-25,3PM,Schindler,Hwy 20,0,4-5 small fish that looked like bluegill and 50-75               minnows,Barnes/Rett
2016-03-23,2:30PM,Adobe,Finley East,0,"water mostly clear, no birds",Logsdon
2016-03-23,5:30PM,Clover,2nd St,30,clear water,Hodge
2016-03-23,2PM,Cole,SBR,0,"water murky, no birds",Logsdon
2016-03-23,NA,Hendricks,upstream from Hendricks Rd,50,NA,Ray
2016-03-23,NA,Hendricks,Eickhoff,0,a dozen suckers,Ray
2016-03-23,2:15PM,Kelsey,Mostin,0,"water clear and fast, no birds",Logsdon
2016-03-23,3PM,Manning,Matthew,0,"clear, shallow, no birds",Logsdon
2016-03-23,2:30PM,Middle,Hwy 20,0,still murky,Hodge
2016-03-23,2:45PM,Thompson,Argonaut,0,"clear, shallow, no birds",Logsdon
2016-03-22,10AM,Alley,Pitney Land,0,water clear and swift; one turkey vulture,Logsdon
2016-03-22,3:45PM,Lyons,Lakeshore,0,"water murky, no birds",Logsdon
2016-03-22,10:15AM,Middle,Elk Mt Rd,0,water clear and swift; no birds,Logsdon
2016-03-22,3PM,Schindler,Hwy 20,0,"water clear, no birds",Logsdon
2016-03-22,11:15AM,Seigler,Perini,0,"slightly murky and swift, no birds",Logsdon
2016-03-22,11:30AM,Seigler,Hwy 29,0,"water clear, garbage in creek, no birds",Logsdon
2016-03-21,NA,Cole,Green Acres,11,"rescued 11 hitch and transferred to mouth of Cole               Creek at CLSP; collected 56 dead hitch, none tagged fish",Ewing/Rogers
2016-03-21,4:15PM,Morrison,Victoria confluence,0,"water fast, murky in Morrison, clear Victoria",Logsdon
2016-03-19,9:30AM,Adobe,Bell Hill,100+,"water clear and swift, 12 turkey vultures",Logsdon
2016-03-19,12:15PM,Forbes,Martin,0,"water clear, 1 mallard",Logsdon
2016-03-19,12:30PM,Forbes,Main St,0,"water clear and still, no birds",Logsdon
2016-03-19,6PM,Scotts,Hendricks,25,just upstream from Hendricks Rd,Logsdon/Bibiana Love
2016-03-19,10AM,Thompson,Argonaut,30,NA,Leonardis
2016-03-19,11:15AM,Thompson,Highland Sprgs Rd,0,"Water clear and shallow, no birds",Logsdon
2016-03-18,12:40PM,Adobe,SBR,0,water murky,Harty
2016-03-18,12:15PM,Burns Valley,Lakeshore Dr,0,"water still and clear, no birds",Logsdon
2016-03-18,8AM,Cole,Greenacres,1000+,in flooded meadow,Calogianes/Dills
2016-03-18,12PM,Cole,Green Acres,0,"could not see anything in flooded field, great blue               heron fishing",Harty
